ID,Name,a,e,i,H,H_std,D,D_std,dadt,dadt_std,P,P_std,Q,Ref,SNR
326354,2000SJ344,1.139910843,0.174510362,5.767003475,22.7,NaN,NaN,NaN,-0.006515,0.001549,NaN,NaN,NaN,B,4.205939316
4034,Vishnu,1.059782692,0.444128155,11.17029425,18.4,NaN,0.42,NaN,-0.003861,0.00092,44.4,NaN,7,A,4.19673913
NaN,2012TC4,1.406087192,0.336078378,0.857172342,26.7,NaN,0.015479774,NaN,-0.011021648,0.002640351,0.204155,NaN,NaN,D,4.174311927
8014,1990MF,1.746614327,0.45613038,1.866992635,18.7,NaN,0.7,NaN,-0.000900737,0.000216258,50.09,NaN,5,D,4.16510319
481442,2006WO3,0.799703836,0.447463423,21.21301002,21.6,NaN,NaN,NaN,-0.003697,0.00089,NaN,NaN,NaN,B,4.153932584
326354,2000SJ344,1.139910843,0.174510362,5.767003475,22.7,NaN,NaN,NaN,-0.006477,0.00156,NaN,NaN,NaN,A,4.151923077
162181,1999LF6,1.409578116,0.280486694,18.94174593,18.2,NaN,0.729,0.019,-0.001204,0.00029,37.26,NaN,6,A,4.151724138
441987,2010NY65,1.001140323,0.3702258,11.59124075,21.4,NaN,0.228,0.012,-0.001865,0.000457,4.9706,NaN,6,B,4.080962801
306383,1993VD,0.875815048,0.551488723,2.06764285,21.5,NaN,NaN,NaN,-0.001946,0.000477,0.94345,NaN,8,B,4.07966457
0,2008CE119,1.211133458,0.177633131,7.74520314,25.7,NaN,NaN,NaN,-0.005716,0.001436,NaN,NaN,NaN,B,3.980501393
283457,2001MQ3,2.232131219,0.45627698,5.587193923,19,NaN,NaN,NaN,-0.001712283,0.000430763,NaN,NaN,NaN,D,3.975
85953,1999FK21,0.738741391,0.703071346,12.604978,18.1,NaN,0.59,NaN,-0.000963,0.000244,28.08,NaN,5,B,3.946721311
348306,2005AY28,0.872363127,0.570166581,5.882331842,21.5,NaN,NaN,NaN,-0.006139,0.001558,NaN,NaN,NaN,B,3.940308087
65679,1989UQ,0.915100584,0.264731608,1.299319043,19.5,NaN,0.918,0.01,-0.001916,0.00049,7.746,NaN,8,A,3.910204082
65679,1989UQ,0.915100584,0.264731608,1.299319043,19.5,NaN,0.918,0.01,-0.001795,0.000465,7.746,NaN,8,B,3.860215054
163023,2001XU1,0.797352436,0.546266699,27.15698274,19.3,NaN,NaN,NaN,0.003425,0.00089,NaN,NaN,NaN,A,3.848314607
NaN,2009BD,1.009762523,0.041631181,0.384479452,28.1,NaN,NaN,NaN,-0.038169,0.00993,4,1.2,NaN,A,3.843806647
232691,2004AR1,1.576016198,0.469444253,9.077384445,19.8,NaN,NaN,NaN,-0.005045,0.001316,NaN,NaN,NaN,B,3.833586626
