Number,Name,a,e,i,H,H_std,D,D_std,P,P_std,P (LCDB),l1,b1,l2,b2,l3,b3,l4,b4,Mag(min),Mag(max),u,u_sigma,g,g_sigma,r,r_sigma,i,i_sigma,z,z_sigma,dadt (papers),dadt_std (papers),snr_papers,dadt (JPL),dadt_sigma (JPL),snr_jpl
333889,1998SV4,0.816478447,0.641970502,53.29569323,18.2,nan,0.919,0.269,2.817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000794,0.00085,0.93,nan,nan,nan
1866,Sisyphus,1.89369921,0.538083305,41.19929069,12.4,nan,8.48,nan,2.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000226,0.00025,0.9,nan,nan,nan
243025,2006UM216,2.676210526,0.52308634,15.87186009,16.0,nan,2.123,0.778,31.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00105,0.00122,0.86,nan,nan,nan
494658,2000UG11,1.928429328,0.572868628,8.922385534,20.4,nan,nan,nan,4.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08,0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003496,0.00427,0.82,nan,nan,nan
136617,1994CC,1.637667328,0.417049747,4.681378024,17.7,nan,nan,nan,2.389,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001092,0.0014199999999999998,0.77,nan,nan,nan
7889,1994LX,1.261379779,0.346315355,36.91250845,15.2,nan,1.68,0.07,2.741,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27,0.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000392,0.00053,0.74,nan,nan,nan
141018,2001WC47,1.398809061,0.24116618,2.869123512,18.9,nan,nan,nan,16.51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000541,0.00074,0.73,nan,nan,nan
NaN,2020GE,1.005738232,0.039472137,2.284204381,28.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029558,0.079986,0.37
NaN,2004JN1,1.085311316,0.175683567,1.501884135,23.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009416,0.025615,0.37
66146,1998TU3,0.787261715,0.483693697,5.406999506,14.5,nan,2.864,1.165,2.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07,0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00016,0.00045,0.36,nan,nan,nan
3103,Eger,1.404234015,0.35414918,20.9308809,15.2,nan,1.5,nan,5.71,nan,nan,226.0,-70.0,nan,nan,nan,nan,nan,nan,0.49,1.18,19.44,0.03,18.03,0.02,17.38,0.01,17.24,0.02,17.15,0.02,-7.6e-05,0.00022999999999999998,0.33,nan,nan,nan
35107,1991VH,1.137326481,0.144266479,13.911640405,16.76,nan,0.929,0.035,2.624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06,0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.7e-05,0.000268,0.29
NaN,2012LA,1.040317247,0.021541923,3.15878067,27.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.079101,0.328067,0.24
NaN,2011MD,1.056337418,0.037035417,2.44531571,28.0,nan,nan,nan,0.194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.03664,0.156686,0.23
438661,2008EP6,1.209043242,0.29326317,17.72318874,19.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000143,0.00448,0.03,nan,nan,nan
96590,1998XB,0.907843987,0.351170175,13.60473959,16.2,nan,0.882,0.217,520.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5e-06,0.00042,0.01,nan,nan,nan
