Number,Name,a,e,i,H,H_std,D,D_std,P,P_std,P (LCDB),l1,b1,l2,b2,l3,b3,l4,b4,Mag(min),Mag(max),u,u_sigma,g,g_sigma,r,r_sigma,i,i_sigma,z,z_sigma,dadt (papers),dadt_std (papers),snr_papers,dadt (JPL),dadt_sigma (JPL),snr_jpl
264357,2000AZ93,0.746936323,0.359931776,8.587967096,21.07,nan,0.113,0.028999999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002693,0.00035,7.7
NaN,2005RZ2,1.10615326,0.103190747,13.161472631,23.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004928,0.000645,7.64
NaN,1997YM9,1.095891039,0.10404095,7.842512231,24.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004263,0.000559,7.63
NaN,2000AA6,1.286381488,0.519353753,2.031183016,22.1,nan,0.316,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007691,0.001016,7.57
,2011PU1,1.306089481,0.246915173,4.347536195,25.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.01486,0.0019649999999999997,7.56,-0.011993,0.001977,6.07
65717,1993BX3,1.395373328,0.280975147,2.808832302,20.75,nan,nan,nan,20.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.88,0.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003025,0.000407,7.42
612094,1999NW2,1.116189019,0.108754566,8.679322823,23.27,nan,nan,nan,4.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003084,0.000416,7.41
85953,1999FK21,0.738741391,0.703071346,12.604978,18.1,nan,0.59,nan,28.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.45,0.87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001164,0.00021,5.54,-0.001239,0.000168,7.38
NaN,2008DB,1.05353834,0.232886827,4.223639086,25.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.045528,0.006216,7.32
NaN,1994WR12,0.756962084,0.397346149,6.851556253,22.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.011204,0.001547,7.24
